,,PEN AMERICA'S INDEX OF SCHOOL BOOK BANS,,,,,,,,
,,"PEN America's Index of School Book Bans lists instances occurring from July 1, 2022 through December 31, 2022, where students' access to books in school libraries and classrooms in the United States was restricted or diminished, for either limited or indefinite periods of time. Some of these bans have since been rescinded and some remain in place. PEN America's definition of school book bans and detailed Methodology can be found in the tab below and here.",,,,,,,,
Title,Author,Secondary Author(s),Illustrator(s),Translator(s),Series Name,State,District,Date of Challenge/Removal,Ban Status,Origin of Challenge
Beyond Magenta: Transgender Teens Speak Out,"Kuklin, Susan",,,,,Arkansas,Conway Public Schools,October 2022,Banned in Libraries and Classrooms,Unclear
Felix Ever After,"Callender, Kacen",,,,,Arkansas,Conway Public Schools,October 2022,Banned in Libraries and Classrooms,Unclear
This Book Is Gay,"Dawson, Juno",,,,,California,William S. Hart Union High School District,September 2022,Banned in Libraries and Classrooms,Unclear
Flamer,"Curato, Mike",,,,,Colorado,Cherry Creek School District,September 2022,Banned Pending Investigation,Unclear
Gender Queer: A Memoir,"Kobabe, Maia",,,,,Colorado,Cherry Creek School District,September 2022,Banned Pending Investigation,Unclear
"Let's Talk About It: The Teen's Guide to Sex, Relationships, and Being a Human (A Graphic Novel)","Moen, Erika","Nolan, Matthew",,,,Colorado,Cherry Creek School District,September 2022,Banned in Libraries and Classrooms,Unclear
A Court of Mist and Fury,"Maas, Sarah J.",,,,A Court of Thorns and Roses,Florida,Brevard Schools,November 2022,Banned Pending Investigation,Formal Challenge
Crank,"Hopkins, Ellen",,,,Crank,Florida,Brevard Schools,November 2022,Banned Pending Investigation,Formal Challenge
Empire of Storms,"Maas, Sarah J.",,,,Throne of Glass,Florida,Brevard Schools,November 2022,Banned Pending Investigation,Formal Challenge
House of Earth and Blood,"Maas, Sarah J.",,,,Crescent City,Florida,Brevard Schools,November 2022,Banned Pending Investigation,Formal Challenge
I Never,"Hopper, Laura",,,,,Florida,Brevard Schools,November 2022,Banned Pending Investigation,Formal Challenge
Monday's Not Coming,"Jackson, Tiffany D.",,,,,Florida,Brevard Schools,November 2022,Banned Pending Investigation,Formal Challenge
Sold,"McCormick, Patricia",,,,,Florida,Brevard Schools,November 2022,Banned Pending Investigation,Formal Challenge
Tilt,"Hopkins, Ellen",,,,,Florida,Brevard Schools,November 2022,Banned Pending Investigation,Formal Challenge
Tricks,"Hopkins, Ellen",,,,Tricks,Florida,Brevard Schools,November 2022,Banned Pending Investigation,Formal Challenge
Water for Elephants,"Gruen, Sara",,,,,Florida,Brevard Schools,November 2022,Banned Pending Investigation,Formal Challenge
What Girls Are Made Of,"Arnold, Elana K.",,,,,Florida,Brevard Schools,November 2022,Banned Pending Investigation,Formal Challenge
A Day in the Life of Marlon Bundo,"Twiss, Jill",,"Keller, E.G.",,,Florida,Broward County Public Schools,October 2022,Banned in Libraries and Classrooms,Informal Challenge
Different Kinds of Fruit,"Lukoff, Kyle",,,,,Florida,Broward County Public Schools,October 2022,Banned in Libraries,Informal Challenge
